"idPedido","descPedido"
"231222/003","Pedido:231222 Versao:003"
"231226/001","Pedido:231226 Versao:001"
"231222/005","Pedido:231222 Versao:005"
"231224/001","Pedido:231224 Versao:001"
"240105/001","Pedido:240105 Versao:001"
"240105/002","Pedido:240105 Versao:002"
"240105/003","Pedido:240105 Versao:003"
"240105/004","Pedido:240105 Versao:004"
"240105/005","Pedido:240105 Versao:005"
"240105/006","Pedido:240105 Versao:006"
"240106/002","Pedido:240106 Versao:002"
"240106/001","Pedido:240106 Versao:001"
"240108/001","Pedido:240108 Versao:001"
"240109/001","Pedido:240109 Versao:001"
"240111/001","Pedido:240111 Versao:001"
"240111/002","Pedido:240111 Versao:002"
"240112/001","Pedido:240112 Versao:001"
"240112/002","Pedido:240112 Versao:002"
"240123/001","Pedido:240123 Versao:001"
"240117/003","Pedido:240117 Versao:003"
"240118/001","Pedido:240118 Versao:001"
"240119/001","Pedido:240119 Versao:001"
"240119/003","Pedido:240119 Versao:003"
"240119/004","Pedido:240119 Versao:004"
"240119/005","Pedido:240119 Versao:005"
"240120/003","Pedido:240120 Versao:003"
"240120/005","Pedido:240120 Versao:005"
"240120/002","Pedido:240120 Versao:002"
"240125/001","Pedido:240125 Versao:001"
"240127/001","Pedido:240127 Versao:001"
"240126/001","Pedido:240126 Versao:001"
"240126/002","Pedido:240126 Versao:002"
"240127/004","Pedido:240127 Versao:004"
"240127/005","Pedido:240127 Versao:005"
"240202/002","Pedido:240202 Versao:002"
"240202/001","Pedido:240202 Versao:001"
"240202/003","Pedido:240202 Versao:003"
"240202/004","Pedido:240202 Versao:004"
"240202/005","Pedido:240202 Versao:005"
"240203/001","Pedido:240203 Versao:001"
"240203/002","Pedido:240203 Versao:002"
"240204/001","Pedido:240204 Versao:001"
"240204/002","Pedido:240204 Versao:002"
"240203/003","Pedido:240203 Versao:003"
"240203/004","Pedido:240203 Versao:004"
"240209/001","Pedido:240209 Versao:001"
"240215/002","Pedido:240215 Versao:002"
"240215/001","Pedido:240215 Versao:001"
"240216/001","Pedido:240216 Versao:001"
"240216/002","Pedido:240216 Versao:002"
"240216/003","Pedido:240216 Versao:003"
"240216/004","Pedido:240216 Versao:004"
"240216/007","Pedido:240216 Versao:007"
"240216/009","Pedido:240216 Versao:009"
"240217/002","Pedido:240217 Versao:002"
"240217/003","Pedido:240217 Versao:003"
"240218/001","Pedido:240218 Versao:001"
"240218/002","Pedido:240218 Versao:002"
"240218/003","Pedido:240218 Versao:003"
"240228/001","Pedido:240228 Versao:001"
"240214/001","Pedido:240214 Versao:001"
"240220/001","Pedido:240220 Versao:001"
"240222/001","Pedido:240222 Versao:001"
"240216/006","Pedido:240216 Versao:006"
"240223/002","Pedido:240223 Versao:002"
"240223/003","Pedido:240223 Versao:003"
"240224/003","Pedido:240224 Versao:003"
"240225/001","Pedido:240225 Versao:001"
"240225/002","Pedido:240225 Versao:002"
"240227/001","Pedido:240227 Versao:001"
"240301/003","Pedido:240301 Versao:003"
"240301/001","Pedido:240301 Versao:001"
"240301/002","Pedido:240301 Versao:002"
"240301/004","Pedido:240301 Versao:004"
"240302/001","Pedido:240302 Versao:001"
"240302/002","Pedido:240302 Versao:002"
"240302/005","Pedido:240302 Versao:005"
"240302/006","Pedido:240302 Versao:006"
"240313/001","Pedido:240313 Versao:001"
"240303/002","Pedido:240303 Versao:002"
"240302/004","Pedido:240302 Versao:004"
"240304/001","Pedido:240304 Versao:001"
"240303/001","Pedido:240303 Versao:001"
"240308/001","Pedido:240308 Versao:001"
"240308/002","Pedido:240308 Versao:002"
"240308/003","Pedido:240308 Versao:003"
"240308/004","Pedido:240308 Versao:004"
"240308/006","Pedido:240308 Versao:006"
"240308/007","Pedido:240308 Versao:007"
"240308/008","Pedido:240308 Versao:008"
"240308/009","Pedido:240308 Versao:009"
"240309/003","Pedido:240309 Versao:003"
"240309/001","Pedido:240309 Versao:001"
"240316/001","Pedido:240316 Versao:001"
"240315/001","Pedido:240315 Versao:001"
"240315/004","Pedido:240315 Versao:004"
"240317/002","Pedido:240317 Versao:002"
"240315/002","Pedido:240315 Versao:002"
"240315/003","Pedido:240315 Versao:003"
"240315/005","Pedido:240315 Versao:005"
"240315/006","Pedido:240315 Versao:006"
"240315/009","Pedido:240315 Versao:009"
"240315/010","Pedido:240315 Versao:010"
"240315/011","Pedido:240315 Versao:011"
"240316/002","Pedido:240316 Versao:002"
"240316/005","Pedido:240316 Versao:005"
"240315/008","Pedido:240315 Versao:008"
"240317/001","Pedido:240317 Versao:001"
"240318/001","Pedido:240318 Versao:001"
"240321/001","Pedido:240321 Versao:001"
"240323/001","Pedido:240323 Versao:001"
"240322/002","Pedido:240322 Versao:002"
"240322/003","Pedido:240322 Versao:003"
"240323/003","Pedido:240323 Versao:003"
"240323/004","Pedido:240323 Versao:004"
"240324/001","Pedido:240324 Versao:001"
"240326/001","Pedido:240326 Versao:001"
"240323/002","Pedido:240323 Versao:002"
"240323/005","Pedido:240323 Versao:005"
"240327/002","Pedido:240327 Versao:002"
"240328/001","Pedido:240328 Versao:001"
"240328/002","Pedido:240328 Versao:002"
"240328/003","Pedido:240328 Versao:003"
"240330/001","Pedido:240330 Versao:001"
"240405/005","Pedido:240405 Versao:005"
"240407/001","Pedido:240407 Versao:001"
"240405/004","Pedido:240405 Versao:004"
"240405/006","Pedido:240405 Versao:006"
"240405/002","Pedido:240405 Versao:002"
"240405/003","Pedido:240405 Versao:003"
"240405/007","Pedido:240405 Versao:007"
"240405/008","Pedido:240405 Versao:008"
"240405/009","Pedido:240405 Versao:009"
"240406/002","Pedido:240406 Versao:002"
"240406/003","Pedido:240406 Versao:003"
"240406/004","Pedido:240406 Versao:004"
"240410/001","Pedido:240410 Versao:001"
"240411/001","Pedido:240411 Versao:001"
"240411/002","Pedido:240411 Versao:002"
"240412/003","Pedido:240412 Versao:003"
"240412/004","Pedido:240412 Versao:004"
"240412/005","Pedido:240412 Versao:005"
"240412/006","Pedido:240412 Versao:006"
"240412/007","Pedido:240412 Versao:007"
"240413/001","Pedido:240413 Versao:001"
"240413/004","Pedido:240413 Versao:004"
"240413/005","Pedido:240413 Versao:005"
"240413/007","Pedido:240413 Versao:007"
"240414/003","Pedido:240414 Versao:003"
"240413/006","Pedido:240413 Versao:006"
"240417/001","Pedido:240417 Versao:001"
"240418/001","Pedido:240418 Versao:001"
"240420/005","Pedido:240420 Versao:005"
"240422/002","Pedido:240422 Versao:002"
"240420/002","Pedido:240420 Versao:002"
"240420/003","Pedido:240420 Versao:003"
"240420/004","Pedido:240420 Versao:004"
"240421/001","Pedido:240421 Versao:001"
"240414/002","Pedido:240414 Versao:002"
"240424/001","Pedido:240424 Versao:001"
"240425/002","Pedido:240425 Versao:002"
"240425/003","Pedido:240425 Versao:003"
"240427/001","Pedido:240427 Versao:001"
"240428/001","Pedido:240428 Versao:001"
"240426/003","Pedido:240426 Versao:003"
"240425/001","Pedido:240425 Versao:001"
"240425/004","Pedido:240425 Versao:004"
"240426/001","Pedido:240426 Versao:001"
"240426/002","Pedido:240426 Versao:002"
"240426/005","Pedido:240426 Versao:005"
"240426/006","Pedido:240426 Versao:006"
"240426/007","Pedido:240426 Versao:007"
"240427/003","Pedido:240427 Versao:003"
"240426/004","Pedido:240426 Versao:004"
"240427/002","Pedido:240427 Versao:002"
"240427/004","Pedido:240427 Versao:004"
"240430/002","Pedido:240430 Versao:002"
"240430/001","Pedido:240430 Versao:001"
"240501/002","Pedido:240501 Versao:002"
"240501/003","Pedido:240501 Versao:003"
"240502/001","Pedido:240502 Versao:001"
"240504/001","Pedido:240504 Versao:001"
"240501/001","Pedido:240501 Versao:001"
"240509/002","Pedido:240509 Versao:002"
"240509/001","Pedido:240509 Versao:001"
"240510/002","Pedido:240510 Versao:002"
"240511/001","Pedido:240511 Versao:001"
"240510/003","Pedido:240510 Versao:003"
"240511/003","Pedido:240511 Versao:003"
"240511/005","Pedido:240511 Versao:005"
"240511/006","Pedido:240511 Versao:006"
