idPedido,idItem
231222/003,000227
231222/003,000558
231222/003,000950
231222/003,001660
231222/003,002461
231222/003,002803
231222/003,002804
231226/001,000708
231226/001,000791
231226/001,000870
231226/001,000871
231226/001,000905
231226/001,001214
231226/001,001843
231226/001,001844
231226/001,001848
231226/001,001852
231222/005,000459 
231222/005,001204 
231222/005,001281 
231224/001,002546 
231224/001,002794 
240105/001,000017
240105/001,000052 
240105/001,000077 
240105/001,000430 
240105/001,001090
240105/001,001230 
240105/001,001618 
240105/001,001623
240105/001,001628 
240105/001,001894
240105/001,002117 
240105/001,002255 
240105/002,000051 
240105/002,000120 
240105/002,000311 
240105/002,000353 
240105/002,000354 
240105/002,000362 
240105/002,000697 
240105/002,000716 
240105/002,000769 
240105/002,000921
240105/002,000926 
240105/002,001031
240105/002,001040
240105/002,001149 
240105/002,001227 
240105/002,001234
240105/002,001376 
240105/002,001388 
240105/002,001504
240105/002,001541
240105/002,001958 
240105/002,002084 
240105/002,002278 
240105/002,002609 
240105/002,002715 
240105/002,002754 
240105/002,002759 
240105/002,002764 
240105/002,000229 
240105/003,002433 
240105/004,000767 
240105/004,001804 
240105/005,001402 
240105/005,002238 
240105/005,002240 
240105/005,002243 
240105/005,002248 
240105/005,002253 
240105/005,002333 
240105/005,002769 
240105/006,000021
240105/006,000919 
240105/006,000920 
240105/006,000949 
240105/006,001057
240105/006,001075
240105/006,001617 
240105/006,002076 
240105/006,002139 
240105/006,002410
240105/006,002597 
240106/002,000045 
240106/002,000266 
240106/002,000524 
240106/002,000720 
240106/002,001070
240106/002,001622
240106/002,001703 
240106/002,001987 
240106/002,002251 
240106/001,000558
240106/001,000928 
240106/001,000950 
240106/001,001369 
240106/001,001524 
240106/001,001525 
240106/001,001526 
240106/001,001595 
240106/001,001696 
240106/001,001702 
240106/001,001923 
240106/001,002246 
240106/001,002283 
240106/001,002472 
240106/001,002537 
240108/001,000007 
240108/001,000128 
240108/001,000190 
240108/001,000264 
240108/001,000365 
240108/001,000788 
240108/001,001360 
240108/001,001399 
240108/001,001503
240108/001,002464 
240108/001,002588 
240108/001,002756 
240108/001,002761 
240109/001,001076
240109/001,001394
240109/001,001843 
240109/001,001844 
240109/001,001848
